WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Katsuura,JP,35.1333,140.3,44.62,43,66,8.23,broken clouds
1,Butaritari,KI,3.0707,172.7902,80.96,76,95,20.04,overcast clouds
2,New Norfolk,AU,-42.7826,147.0587,78.91,30,1,7.0,clear sky
3,Jamestown,US,42.097,-79.2353,27.01,93,100,8.05,light snow
4,Kavieng,PG,-2.5744,150.7967,84.18,66,51,4.18,light rain
5,Torbay,CA,47.6666,-52.7314,35.28,95,100,5.75,overcast clouds
6,Hobart,AU,-42.8794,147.3294,79.27,56,20,14.97,few clouds
7,Busselton,AU,-33.65,115.3333,79.07,44,100,12.35,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,44.26,65,20,9.22,few clouds
9,Albany,US,42.6001,-73.9662,30.63,86,99,5.19,snow
10,Rikitea,PF,-23.1203,-134.9692,79.47,70,39,10.02,scattered clouds
11,Mayskiy,RU,47.6931,40.1025,31.41,93,74,4.38,broken clouds
12,Narsaq,GL,60.9167,-46.05,16.02,95,100,4.59,snow
13,Thinadhoo,MV,0.5333,72.9333,80.67,74,72,6.26,broken clouds
14,Port Alfred,ZA,-33.5906,26.891,66.18,94,97,3.0,light rain
15,Qaanaaq,GL,77.484,-69.3632,-4.76,45,14,9.26,few clouds
16,Teeli,RU,51.0333,90.2333,-4.52,82,7,1.07,clear sky
17,Khatanga,RU,71.9667,102.5,-46.34,100,62,3.53,broken clouds
18,Cayenne,GF,4.9333,-52.3333,73.44,100,75,2.3,broken clouds
19,Genhe,CN,50.7833,121.5167,4.51,90,100,1.23,overcast clouds
20,Lompoc,US,34.6391,-120.4579,48.94,71,0,12.66,clear sky
21,Mahebourg,MU,-20.4081,57.7,79.25,88,75,3.44,broken clouds
22,Bluff,NZ,-46.6,168.3333,66.2,75,50,10.76,scattered clouds
23,Canapi,BR,-9.1174,-37.6012,73.42,77,99,7.36,overcast clouds
24,Houma,US,29.5958,-90.7195,69.01,95,100,0.0,overcast clouds
25,Punta Arenas,CL,-53.15,-70.9167,48.31,66,0,10.36,clear sky
26,Okha,RU,53.5739,142.9478,-2.88,81,100,13.96,overcast clouds
27,Te Anau,NZ,-45.4167,167.7167,77.36,56,45,5.82,scattered clouds
28,Belmonte,BR,-15.8631,-38.8828,75.67,80,3,4.45,clear sky
29,Atuona,PF,-9.8,-139.0333,79.47,80,42,21.0,light rain
30,Hilo,US,19.7297,-155.09,72.63,90,100,0.0,light rain
31,Berlin,DE,52.5244,13.4105,39.22,80,100,21.0,overcast clouds
32,Shagonar,RU,51.5333,92.8,-7.71,96,92,1.07,overcast clouds
33,Islamkot,PK,24.6997,70.177,59.13,38,0,12.39,clear sky
34,Mataura,NZ,-46.1927,168.8643,87.67,33,12,1.41,few clouds
35,Barrow,US,71.2906,-156.7887,-7.58,71,0,20.71,clear sky
36,Arraial Do Cabo,BR,-22.9661,-42.0278,76.42,86,95,27.49,overcast clouds
37,Forestville,US,38.8451,-76.875,49.62,84,0,6.91,clear sky
38,Malpe,IN,13.35,74.7167,78.1,74,85,4.54,overcast clouds
39,Puerto Ayora,EC,-0.7393,-90.3518,77.56,93,96,1.01,light rain
40,Carnarvon,AU,-24.8667,113.6333,80.98,61,69,8.88,broken clouds
41,Georgetown,MY,5.4112,100.3354,84.13,71,20,6.91,few clouds
42,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,79.39,72,99,8.03,overcast clouds
43,Cetraro,IT,39.5166,15.9416,47.25,86,95,8.55,light rain
44,Longyearbyen,SJ,78.2186,15.6401,17.44,67,20,11.5,few clouds
45,Phra Phutthabat,TH,14.7253,100.7954,78.82,27,26,8.21,scattered clouds
46,Calmar,CA,53.2668,-113.8187,13.87,73,100,10.36,overcast clouds
47,Avarua,CK,-21.2078,-159.775,78.85,89,75,13.8,light rain
48,Henties Bay,NA,-22.116,14.2845,63.07,87,91,4.14,overcast clouds
49,Salalah,OM,17.0151,54.0924,66.29,72,20,3.44,few clouds
50,Mbini,GQ,1.574,9.6134,73.67,85,94,8.77,overcast clouds
51,Balabac,PH,7.9868,117.0645,77.36,92,100,14.58,light rain
52,Cape Town,ZA,-33.9258,18.4232,69.39,64,0,6.91,clear sky
53,Vaini,TO,-21.2,-175.2,84.36,84,75,8.05,broken clouds
54,Saint-Philippe,RE,-21.3585,55.7679,80.19,85,45,6.33,scattered clouds
55,Aksarka,RU,66.5606,67.7975,-12.06,98,39,6.71,scattered clouds
56,Bengkulu,ID,-3.8004,102.2655,82.2,71,100,3.74,light rain
57,Saint George,US,37.1041,-113.5841,31.95,57,0,5.01,clear sky
58,Port Blair,IN,11.6667,92.75,82.44,74,40,8.05,scattered clouds
59,Castro,BR,-24.7911,-50.0119,61.77,98,95,2.64,overcast clouds
60,Moose Jaw,CA,50.4001,-105.5344,-1.95,78,18,13.8,few clouds
61,Hofn,IS,64.2539,-15.2082,34.57,92,100,10.65,snow
62,Victoria,HK,22.2855,114.1577,66.96,48,100,4.0,overcast clouds
63,Kamenka,RU,51.3223,42.7678,32.05,98,100,10.31,overcast clouds
64,Cabo San Lucas,MX,22.8909,-109.9124,71.51,70,100,8.05,overcast clouds
65,Kapaa,US,22.0752,-159.319,66.52,94,100,9.22,thunderstorm with light rain
