City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,New Norfolk,AU,78.91,clear sky,-42.7826,147.0587,Woodbridge on the Derwent
4,Kavieng,PG,84.18,light rain,-2.5744,150.7967,Kavieng Hotel
6,Hobart,AU,79.27,few clouds,-42.8794,147.3294,Vibe Hotel Hobart
10,Rikitea,PF,79.47,scattered clouds,-23.1203,-134.9692,Chez Bianca & Benoit
21,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Grand Bel Air
27,Te Anau,NZ,77.36,scattered clouds,-45.4167,167.7167,Lakeside Motels & Apartments
29,Atuona,PF,79.47,light rain,-9.8,-139.0333,Pearl Resort
38,Malpe,IN,78.1,overcast clouds,13.35,74.7167,Hotel Kart
39,Puerto Ayora,EC,77.56,light rain,-0.7393,-90.3518,Hostal La Mirada De Solitario George
41,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Page 63 hostel
47,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
53,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti International Resort
54,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,Le Baril
56,Bengkulu,ID,82.2,light rain,-3.8004,102.2655,Dena Hotel
58,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
68,Hithadhoo,MV,81.03,broken clouds,-0.6,73.0833,Pebbles Inn
83,Natal,BR,79.02,scattered clouds,-5.795,-35.2094,Natal Palace Hotel
87,Dzaoudzi,YT,80.49,clear sky,-12.7887,45.2699,2.0 hôtel
89,La Plata,AR,76.82,clear sky,-34.9215,-57.9545,Hotel Catedral
94,Bom Jesus,BR,77.32,broken clouds,-9.0744,-44.3586,Hotel Brasão
97,Davila,PH,84.18,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
101,Touros,BR,79.9,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
114,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,Hotel del Valle
124,Banda Aceh,ID,80.13,overcast clouds,5.5577,95.3222,Hotel 61
127,Yulara,AU,87.31,broken clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
135,Isangel,VU,89.71,broken clouds,-19.55,169.2667,Tanna Lodge
142,Port Augusta,AU,80.94,clear sky,-32.5,137.7667,Hotel Commonwealth
