City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Qaanaaq,77.484,-69.3632,-3.19,84,100,1.61,GL,2023-01-29 14:33:58
1,Denpasar,-8.65,115.2167,78.46,94,40,8.05,ID,2023-01-29 14:36:09
2,Sotnikovo,51.8845,107.4791,8.69,78,20,0.0,RU,2023-01-29 14:38:07
3,Albany,42.6001,-73.9662,36.27,76,100,1.99,US,2023-01-29 14:26:35
4,Beringovskiy,63.05,179.3167,23.99,95,100,9.91,RU,2023-01-29 14:38:09
5,Saint-Joseph,-21.3667,55.6167,84.58,84,100,1.7,RE,2023-01-29 14:38:10
6,Fortuna,40.5982,-124.1573,41.92,94,100,0.0,US,2023-01-29 14:38:11
7,Severo-Kurilsk,50.6789,156.125,25.39,66,100,29.37,RU,2023-01-29 14:32:45
8,Husavik,66.0449,-17.3389,28.99,95,100,19.48,IS,2023-01-29 14:34:26
9,Saint George,37.1041,-113.5841,28.99,80,0,0.0,US,2023-01-29 14:27:59
10,Tasiilaq,65.6145,-37.6368,19.56,74,38,5.21,GL,2023-01-29 14:32:51
11,Comodoro Rivadavia,-45.8667,-67.5,80.46,36,0,12.66,AR,2023-01-29 14:37:06
12,Lompoc,34.6391,-120.4579,49.78,89,100,4.61,US,2023-01-29 14:38:16
13,Bredasdorp,-34.5322,20.0403,69.42,51,99,21.5,ZA,2023-01-29 14:31:00
14,Nizhniy Odes,63.6445,54.856,10.0,94,100,9.28,RU,2023-01-29 14:38:19
15,Khatanga,71.9667,102.5,-39.93,100,75,4.29,RU,2023-01-29 14:38:19
16,Vaini,-21.2,-175.2,75.36,100,40,3.44,TO,2023-01-29 14:31:04
17,High Level,58.5169,-117.136,-18.29,76,100,2.3,CA,2023-01-29 14:38:20
18,Palana,59.1167,159.9667,26.76,79,100,27.22,RU,2023-01-29 14:38:21
19,Poum,-20.2333,164.0167,79.27,76,81,15.99,NC,2023-01-29 14:31:25
20,Camacha,33.0833,-16.3333,56.62,63,20,14.97,PT,2023-01-29 14:38:21
21,Rikitea,-23.1203,-134.9692,78.22,74,62,10.83,PF,2023-01-29 14:31:31
22,Lagoa,39.05,-27.9833,57.69,67,90,12.26,PT,2023-01-29 14:38:22
23,Busselton,-33.65,115.3333,66.52,67,43,15.82,AU,2023-01-29 14:32:47
24,Bud,39.447,-86.1758,43.9,95,100,7.05,US,2023-01-29 14:38:23
25,Ballina,-28.8667,153.5667,75.02,93,100,9.28,AU,2023-01-29 14:32:46
26,Arlit,18.7369,7.3853,81.12,3,49,10.65,NE,2023-01-29 14:38:24
27,Port Elizabeth,-33.918,25.5701,72.1,58,40,14.97,ZA,2023-01-29 14:38:25
28,Namibe,-15.1961,12.1522,77.94,76,99,9.37,AO,2023-01-29 14:38:25
29,Brusturoasa,46.5167,26.2,24.26,92,64,2.59,RO,2023-01-29 14:38:26
30,Cape Town,-33.9258,18.4232,84.11,43,0,24.16,ZA,2023-01-29 14:30:00
31,Taltal,-25.4,-70.4833,70.52,71,26,4.88,CL,2023-01-29 14:38:28
32,Tual,-5.6667,132.75,82.62,77,100,9.33,ID,2023-01-29 14:38:29
33,Sitka,57.0531,-135.33,31.89,80,75,0.0,US,2023-01-29 14:38:29
34,Colchester,51.8892,0.9042,47.35,82,86,15.12,GB,2023-01-29 14:34:11
35,Castro,-24.7911,-50.0119,81.0,53,13,7.05,BR,2023-01-29 14:31:26
36,Takefu,35.9039,136.1669,35.87,94,100,9.66,JP,2023-01-29 14:38:31
37,West Melbourne,28.0717,-80.6534,74.95,80,0,8.05,US,2023-01-29 14:38:31
38,Hobyo,5.3505,48.5268,77.4,71,64,20.4,SO,2023-01-29 14:38:32
39,Port Alfred,-33.5906,26.891,72.18,53,91,3.0,ZA,2023-01-29 14:38:32
40,Tari,12.4086,4.4914,95.11,7,95,7.0,NG,2023-01-29 14:38:33
41,Tuktoyaktuk,69.4541,-133.0374,-4.0,84,100,10.36,CA,2023-01-29 14:31:22
42,Valparaiso,-33.0393,-71.6273,73.0,77,100,10.36,CL,2023-01-29 14:36:30
43,Faanui,-16.4833,-151.75,80.24,76,12,11.74,PF,2023-01-29 14:38:34
44,Tahoua,14.8888,5.2692,91.38,9,0,4.61,NE,2023-01-29 14:38:36
45,Graaff-Reinet,-32.2522,24.5308,67.93,61,97,12.26,ZA,2023-01-29 14:38:36
46,Shubarkuduk,49.1447,56.4872,9.03,96,18,5.5,KZ,2023-01-29 14:38:37
47,Souillac,-20.5167,57.5167,80.98,83,75,6.91,MU,2023-01-29 14:34:23
48,Acarau,-2.8856,-40.12,86.0,58,24,13.62,BR,2023-01-29 14:39:38
49,Tuatapere,-46.1333,167.6833,54.73,68,97,4.9,NZ,2023-01-29 14:39:40
50,Atuona,-9.8,-139.0333,78.46,78,44,19.95,PF,2023-01-29 14:32:50
51,Hermanus,-34.4187,19.2345,73.8,51,100,25.12,ZA,2023-01-29 14:31:01
52,Mataura,-46.1927,168.8643,50.83,84,47,3.06,NZ,2023-01-29 14:31:11
53,Ushuaia,-54.8,-68.3,53.26,66,75,12.66,AR,2023-01-29 14:28:03
54,Hilo,19.7297,-155.09,69.28,85,75,4.61,US,2023-01-29 14:31:27
55,Punta Arenas,-53.15,-70.9167,59.11,55,75,16.11,CL,2023-01-29 14:28:33
56,Berlevag,70.8578,29.0864,35.55,93,100,18.41,NO,2023-01-29 14:32:52
57,Beloha,-25.1667,45.05,80.04,72,97,13.35,MG,2023-01-29 14:39:42
58,Lebu,-37.6167,-73.65,64.72,80,77,16.28,CL,2023-01-29 14:31:14
59,Elliot Lake,46.3834,-82.6331,9.37,81,100,5.21,CA,2023-01-29 14:39:43
60,Ponta Do Sol,32.6667,-17.1,63.23,50,57,7.14,PT,2023-01-29 14:34:13
61,Xapuri,-10.6517,-68.5044,80.4,75,100,1.52,BR,2023-01-29 14:39:43
62,Asfi,32.2994,-9.2372,58.57,48,1,11.68,MA,2023-01-29 14:39:44
63,Novotroitskaya,45.3267,41.5253,41.59,68,100,5.1,RU,2023-01-29 14:39:44
64,La Ronge,55.1001,-105.2842,-19.95,69,40,12.66,CA,2023-01-29 14:39:44
65,Te Anau,-45.4167,167.7167,50.11,67,68,1.25,NZ,2023-01-29 14:32:48
66,Kapaa,22.0752,-159.319,70.12,76,100,17.27,US,2023-01-29 14:31:06
67,Hami,42.8,93.45,20.82,31,100,3.27,CN,2023-01-29 14:34:24
68,Road Town,18.4167,-64.6167,80.69,73,20,10.36,VG,2023-01-29 14:39:45
69,Pisco,-13.7,-76.2167,75.25,73,0,5.75,PE,2023-01-29 14:39:45
70,Nuevo Progreso,23.1667,-97.95,71.47,74,34,1.01,MX,2023-01-29 14:39:46
71,Georgetown,5.4112,100.3354,84.24,71,20,5.75,MY,2023-01-29 14:30:13
72,Balkhash,46.844,74.9804,-1.41,87,0,5.46,KZ,2023-01-29 14:39:46
73,Zhigansk,66.7697,123.3711,-36.33,95,98,11.72,RU,2023-01-29 14:39:47
74,Saint-Philippe,-21.3585,55.7679,85.59,87,100,4.14,RE,2023-01-29 14:31:01
75,Dikson,73.5069,80.5464,-27.72,98,17,6.67,RU,2023-01-29 14:32:55
76,Bowen,-20.0167,148.2333,80.46,74,99,10.6,AU,2023-01-29 14:39:47
77,Harper,4.375,-7.7169,82.09,74,100,6.6,LR,2023-01-29 14:31:05
78,Diego De Almagro,-26.3667,-70.05,77.59,30,5,8.14,CL,2023-01-29 14:39:48
79,Salalah,17.0151,54.0924,77.09,18,0,14.97,OM,2023-01-29 14:39:48
80,Guerrero Negro,27.9769,-114.0611,53.17,84,6,3.44,MX,2023-01-29 14:39:48
81,Qiongshan,20.0058,110.3542,48.18,81,0,2.24,CN,2023-01-29 14:39:49
82,Geraldton,-28.7667,114.6,84.61,45,86,14.97,AU,2023-01-29 14:36:13
83,Byron Bay,-28.65,153.6167,74.95,78,100,8.12,AU,2023-01-29 14:39:49
84,Bluff,-46.6,168.3333,55.96,82,62,10.85,NZ,2023-01-29 14:34:22
85,Rioja,-29.4111,-66.8507,76.46,78,90,3.33,AR,2023-01-29 14:39:49
86,Palmares Do Sul,-30.2578,-50.5097,86.97,55,4,12.53,BR,2023-01-29 14:39:50
87,Hobart,-42.8794,147.3294,62.46,85,100,5.75,AU,2023-01-29 14:33:58
88,Hithadhoo,-0.6,73.0833,82.2,73,72,10.74,MV,2023-01-29 14:31:02
89,Wanxian,30.8039,108.3897,49.89,51,0,1.45,CN,2023-01-29 14:39:50
90,Saint-Pierre,-21.3393,55.4781,85.68,66,0,17.27,RE,2023-01-29 14:39:51
91,Progreso,21.2833,-89.6667,75.11,76,8,9.95,MX,2023-01-29 14:39:51
92,Pangnirtung,66.1451,-65.7125,-30.69,72,67,5.68,CA,2023-01-29 14:40:51
93,Makakilo City,21.3469,-158.0858,71.92,77,0,10.36,US,2023-01-29 14:40:51
94,Tiksi,71.6872,128.8694,-32.96,96,97,6.42,RU,2023-01-29 14:40:52
95,Riviere-Au-Renard,48.9957,-64.3971,8.89,74,43,13.13,CA,2023-01-29 14:40:52
96,San Cristobal,7.7669,-72.225,68.18,39,25,5.48,VE,2023-01-29 14:40:52
97,Bambous Virieux,-20.3428,57.7575,83.21,83,75,6.91,MU,2023-01-29 14:40:53
98,Paraopeba,-19.2757,-44.4033,80.08,67,35,2.57,BR,2023-01-29 14:40:53
99,San Ignacio,17.1561,-89.0714,68.14,100,100,0.0,BZ,2023-01-29 14:40:54
100,Huilong,31.8111,121.655,38.93,54,0,7.94,CN,2023-01-29 14:40:54
101,Barrow,71.2906,-156.7887,-5.78,77,100,8.05,US,2023-01-29 14:34:16
102,Henties Bay,-22.116,14.2845,67.01,78,16,13.04,NA,2023-01-29 14:40:54
103,Cherskiy,68.75,161.3,-19.84,99,73,3.71,RU,2023-01-29 14:34:10
104,Kalmunai,7.4167,81.8167,75.76,80,100,5.86,LK,2023-01-29 14:40:55
105,Oxelosund,58.6706,17.1015,41.38,81,75,14.97,SE,2023-01-29 14:40:55
106,Isla Mujeres,21.2311,-86.731,78.85,76,15,13.4,MX,2023-01-29 14:40:55
107,Yamada,39.4667,141.95,26.98,70,32,3.87,JP,2023-01-29 14:40:56
108,Flinders,-34.5833,150.8552,76.17,90,100,3.0,AU,2023-01-29 14:40:56
109,Upernavik,72.7868,-56.1549,-6.18,95,99,6.67,GL,2023-01-29 14:28:21
110,Caravelas,-17.7125,-39.2481,85.86,54,93,9.04,BR,2023-01-29 14:40:56
111,Vanimo,-2.6741,141.3028,78.91,84,49,2.53,PG,2023-01-29 14:32:48
112,Tiarei,-17.5333,-149.3333,75.22,75,7,9.28,PF,2023-01-29 14:40:57
113,Matay,28.419,30.7792,73.06,28,100,6.42,EG,2023-01-29 14:40:57
114,Lubango,-14.9172,13.4925,66.96,72,100,3.29,AO,2023-01-29 14:40:58
115,San Patricio,28.017,-97.5169,69.67,97,100,6.35,US,2023-01-29 14:29:33
116,Vaitape,-16.5167,-151.75,80.26,76,12,11.68,PF,2023-01-29 14:40:58
117,Alofi,-19.0595,-169.9187,73.29,100,71,3.44,NU,2023-01-29 14:40:58
118,Granville,-33.8333,151.0167,75.29,88,100,3.0,AU,2023-01-29 14:40:59
119,Katsuura,35.1333,140.3,42.67,65,17,11.59,JP,2023-01-29 14:31:36
120,Hanyang,32.1371,105.5126,40.15,38,0,0.72,CN,2023-01-29 14:40:59
121,Vostok,46.4856,135.8833,-22.79,99,77,4.25,RU,2023-01-29 14:40:59
122,Mayo,38.8876,-76.5119,48.61,64,0,10.36,US,2023-01-29 14:41:00
123,Marica,-22.9194,-42.8186,87.75,73,100,5.03,BR,2023-01-29 14:41:00
124,Ocean City,39.2776,-74.5746,51.03,79,96,5.01,US,2023-01-29 14:41:00
125,Japura,-0.3167,102.35,72.9,98,100,2.59,ID,2023-01-29 14:41:01
126,Aklavik,68.2191,-135.0107,-4.7,94,73,2.44,CA,2023-01-29 14:41:01
127,Pingxiang,27.6167,113.85,43.21,46,0,2.91,CN,2023-01-29 14:41:01
128,New Norfolk,-42.7826,147.0587,62.1,64,53,0.31,AU,2023-01-29 14:31:21
129,Aykhal,66.0,111.5,-28.62,100,97,4.18,RU,2023-01-29 14:41:02
130,Port Macquarie,-31.4333,152.9167,73.89,87,100,8.3,AU,2023-01-29 14:41:03
131,Kodiak,57.79,-152.4072,35.11,100,100,0.0,US,2023-01-29 14:41:03
132,Bereda,43.2686,-7.5406,47.14,78,47,8.37,ES,2023-01-29 14:41:04
