City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Eirunepe,-6.6603,-69.8736,83.01,66,91,4.05,BR,2023-01-24 19:20:30
1,Punta Arenas,-53.15,-70.9167,53.71,40,40,29.93,CL,2023-01-24 19:16:13
2,Rikitea,-23.1203,-134.9692,79.09,73,42,17.74,PF,2023-01-24 19:16:09
3,Lorengau,-2.0226,147.2712,77.99,81,100,2.44,PG,2023-01-24 19:20:30
4,Provideniya,64.3833,-173.3,-4.14,83,1,14.43,RU,2023-01-24 19:20:31
5,Hilo,19.7297,-155.09,79.29,81,75,6.91,US,2023-01-24 19:20:31
6,Hobart,-42.8794,147.3294,61.05,92,20,6.91,AU,2023-01-24 19:13:40
7,Noumea,-22.2763,166.4572,81.0,99,0,2.77,NC,2023-01-24 19:17:38
8,Barrow,71.2906,-156.7887,-9.38,77,0,17.27,US,2023-01-24 19:20:32
9,Tarko-Sale,64.9225,77.785,-6.12,96,100,17.65,RU,2023-01-24 19:20:32
10,Portoferraio,42.8115,10.3146,51.58,87,20,6.91,IT,2023-01-24 19:20:33
11,Jamestown,42.097,-79.2353,31.71,46,100,17.27,US,2023-01-24 19:15:42
12,Sao Filipe,14.8961,-24.4956,70.16,68,56,3.69,CV,2023-01-24 19:17:25
13,Vaini,-21.2,-175.2,80.76,89,20,4.61,TO,2023-01-24 19:16:15
14,Okhotsk,59.3833,143.3,-8.97,96,98,11.92,RU,2023-01-24 19:18:36
15,Tuktoyaktuk,69.4541,-133.0374,-7.6,84,100,13.8,CA,2023-01-24 19:16:16
16,Albany,42.6001,-73.9662,35.37,76,87,3.0,US,2023-01-24 19:14:24
17,Dikson,73.5069,80.5464,-3.35,94,100,32.3,RU,2023-01-24 19:20:34
18,Busselton,-33.65,115.3333,59.65,81,2,12.5,AU,2023-01-24 19:16:12
19,Haapiti,-17.5667,-149.8667,80.33,77,99,14.25,PF,2023-01-24 19:20:34
20,Guaruja,-23.9931,-46.2564,84.06,70,40,6.91,BR,2023-01-24 19:20:34
21,Ancud,-41.8697,-73.8203,59.95,58,45,10.36,CL,2023-01-24 19:20:35
22,Ushuaia,-54.8,-68.3,53.22,76,75,29.93,AR,2023-01-24 19:16:07
23,Gisborne,-38.6533,178.0042,61.47,75,18,2.75,NZ,2023-01-24 19:13:13
24,Airai,-8.9266,125.4092,60.75,94,100,1.19,TL,2023-01-24 19:20:35
25,Zwedru,6.0667,-8.1281,77.56,77,49,4.99,LR,2023-01-24 19:20:36
26,Vao,-22.6667,167.4833,78.21,80,5,2.64,NC,2023-01-24 19:20:36
27,Ojinaga,29.5667,-104.4167,53.56,40,0,14.97,MX,2023-01-24 19:20:36
28,Brenes,37.5494,-5.8714,49.32,65,0,4.61,ES,2023-01-24 19:20:37
29,Butaritari,3.0707,172.7902,80.85,78,60,18.37,KI,2023-01-24 19:16:16
30,Atuona,-9.8,-139.0333,78.71,75,3,19.35,PF,2023-01-24 19:16:04
31,Shwebo,22.5667,95.7,61.99,44,7,3.58,MM,2023-01-24 19:20:37
32,Ternate,0.8,127.4,79.68,79,100,1.03,ID,2023-01-24 19:20:37
33,Hualmay,-11.0964,-77.6139,75.9,70,60,10.29,PE,2023-01-24 19:18:32
34,Sabang,5.8933,95.3214,79.97,78,82,17.52,ID,2023-01-24 19:20:38
35,Longyearbyen,78.2186,15.6401,30.04,74,40,14.97,SJ,2023-01-24 19:17:12
36,Venezuela,8.0,-66.0,93.78,29,14,17.31,VE,2023-01-24 19:16:26
37,Takoradi,4.8845,-1.7554,81.28,79,14,7.7,GH,2023-01-24 19:20:38
38,Palmer,42.1584,-72.3287,39.24,70,100,11.5,US,2023-01-24 19:18:39
39,Kabelvag,68.2114,14.4817,37.42,75,75,19.57,NO,2023-01-24 19:20:39
40,Yabelo,4.8833,38.0833,68.16,30,85,17.56,ET,2023-01-24 19:20:39
41,Hithadhoo,-0.6,73.0833,80.85,76,100,13.13,MV,2023-01-24 19:16:17
42,Constitucion,-35.3333,-72.4167,68.68,62,8,19.73,CL,2023-01-24 19:15:59
43,Sibu,2.3,111.8167,75.51,100,40,2.3,MY,2023-01-24 19:21:40
44,Mataura,-46.1927,168.8643,48.31,91,25,1.5,NZ,2023-01-24 19:16:05
45,Bilibino,68.0546,166.4372,-14.49,72,100,3.85,RU,2023-01-24 19:21:40
46,Emba,48.8264,58.1442,1.38,97,12,4.81,KZ,2023-01-24 19:21:40
47,Loikaw,19.6742,97.2094,57.99,41,3,2.59,MM,2023-01-24 19:21:41
48,Leningradskiy,69.3833,178.4167,-22.49,92,30,9.51,RU,2023-01-24 19:21:41
49,Qaanaaq,77.484,-69.3632,-11.81,64,1,8.21,GL,2023-01-24 19:21:41
50,Karratha,-20.7377,116.8463,83.91,67,5,5.57,AU,2023-01-24 19:21:42
51,Puerto Ayora,-0.7393,-90.3518,84.16,89,36,7.0,EC,2023-01-24 19:14:58
52,Beringovskiy,63.05,179.3167,-12.06,95,70,12.71,RU,2023-01-24 19:21:42
53,Lavrentiya,65.5833,-171.0,-15.2,96,30,10.8,RU,2023-01-24 19:21:43
54,Giddalur,15.35,78.9167,64.0,91,11,4.18,IN,2023-01-24 19:21:43
55,Castro,-24.7911,-50.0119,81.28,48,24,4.21,BR,2023-01-24 19:14:22
56,Guliston,40.4897,68.7842,17.78,96,13,1.5,UZ,2023-01-24 19:21:43
57,Bredasdorp,-34.5322,20.0403,63.25,50,94,9.42,ZA,2023-01-24 19:21:44
58,Rabat,33.9911,-6.8401,55.15,80,40,0.0,MA,2023-01-24 19:19:03
59,Esperance,-33.8667,121.9,65.5,87,0,14.43,AU,2023-01-24 19:21:44
60,Boyolangu,-8.1181,111.8935,75.76,92,100,1.25,ID,2023-01-24 19:21:44
61,Matai,-8.3,31.5167,65.64,94,100,2.91,TZ,2023-01-24 19:21:45
62,Biloela,-24.4167,150.5,70.2,81,3,3.56,AU,2023-01-24 19:21:45
63,Lebu,-37.6167,-73.65,62.67,63,5,15.05,CL,2023-01-24 19:16:06
64,Narsaq,60.9167,-46.05,23.22,93,99,7.96,GL,2023-01-24 19:21:45
65,Anchorage,61.2181,-149.9003,43.81,52,0,24.16,US,2023-01-24 19:21:46
66,Faanui,-16.4833,-151.75,81.64,71,100,15.03,PF,2023-01-24 19:21:46
67,Fairbanks,64.8378,-147.7164,-1.39,78,100,0.0,US,2023-01-24 19:13:05
68,Kaeo,-35.1,173.7833,67.01,73,97,12.97,NZ,2023-01-24 19:21:46
69,Severo-Kurilsk,50.6789,156.125,25.9,73,100,36.91,RU,2023-01-24 19:21:47
70,Nome,64.5011,-165.4064,-3.93,59,0,4.61,US,2023-01-24 19:21:47
71,Avera,33.194,-82.5271,56.55,44,0,7.02,US,2023-01-24 19:21:47
72,Victor Harbor,-35.5667,138.6167,60.01,84,1,2.86,AU,2023-01-24 19:21:48
